Pulsed/ Streaming,FTSE Index ,FTSE Code,Base Currency,PDG,Bloomberg Tickers,RIC Codes
S,FTSE Eurozone Italy Government (Mid Price) Index,EMTX_IT_G_MP,EUR,PDG01MTS,-,FMMPITGR= 
S,FTSE Eurozone Lowest-Rated Eurozone Government Bond Index,EMTX_x3A_G,EUR,PDG01MTS,EMTSXGR,EMTSXGR= 
S,FTSE Eurozone Target Maturity Government Bond Spain (Mid Price) Index,EMTX1TMESMP,EUR,PDG01MTS,-,FMMPESXR= 
S,FTSE Eurozone Target Maturity Government Bond Italy (Mid Price) Index,EMTX1TMITMP,EUR,PDG01MTS,-,FMMPITXR= 
S,FTSE Eurozone Austria Government Index,EMTXa_AT_G,EUR,PDG01MTS,-,MTSATRT= 
S,FTSE Eurozone Belgium Government Index,EMTXa_BE_G,EUR,PDG01MTS,-,MTSBERT= 
S,FTSE Eurozone Finland Government Index,EMTXa_FI_G,EUR,PDG01MTS,-,MTSFIRT= 
S,FTSE Eurozone Ireland Government Index,EMTXa_IE_G,EUR,PDG01MTS,-,MTSAIERT= 
S,FTSE Eurozone Netherlands Government Index,EMTXa_NL_G,EUR,PDG01MTS,-,MTSNLRT= 
S,FTSE Eurozone Portugal Government Index,EMTXa_PT_G,EUR,PDG01MTS,-,MTSPTRT= 
S,FTSE Eurozone Slovenia Government Index,EMTXa_SL_G,EUR,PDG01MTS,MTSVGR,MTSVGR= 
S,FTSE Eurozone Inflation-Linked Bond Break-Even Index,EMTXi_BE,EUR,PDG01MTS,EXIGBER,EXIGBERT= 
S,FTSE Eurozone Inflation-Linked Break-Even Index Mid,EMTXi_BE_MP,EUR,PDG01MTS,FMMPBEIR,FMMPBEIR= 
S,FTSE Eurozone Inflation-Linked Bond EMU HICP Index,EMTXi_EI_G,EUR,PDG01MTS,EXIEIGR,EXIEIGRT= 
S,FTSE Eurozone Inflation-Linked Bond EMU HICP 1-10Y Index,EMTXi_EI_J,EUR,PDG01MTS,EXIEIJR,EXIEIJRT= 
S,FTSE Eurozone Inflation-Linked Bond EMU HICP 10Y+ Index,EMTXi_EI_K,EUR,PDG01MTS,EXIEIKR,EXIEIKRT= 
S,FTSE Eurozone Inflation-Linked Bond France Index,EMTXi_F_G,EUR,PDG01MTS,EXIFGR,EXIFGRT= 
S,FTSE Eurozone Inflation-Linked Bond France FRCPI Index,EMTXi_FI_G,EUR,PDG01MTS,EXIFIGR,EXIFIGRT= 
S,FTSE Eurozone Inflation-Linked Bond Index,EMTXi_G,EUR,PDG01MTS,EMTXIGR,EMTXIGRT= 
S,FTSE Eurozone Inflation Linked Bond Italy EMU HICP Index,EMTXi_I_G,EUR,PDG01MTS,EXIIGR,EXIIGRT= 
S,FTSE Eurozone Inflation-Linked Bond IG Break-Even Index,EMTXi_ig_BE,EUR,PDG01MTS,-,EMIGIBER= 
S,FTSE Eurozone Inflation-Linked Bond IG Index,EMTXi_ig_G,EUR,PDG01MTS,EMIGIGR,EMIGIGR= 
S,FTSE Eurozone Mid Price InvG Inflation-Linked Aggr. All-Maturity EUR,EMTXi_ig_G_MP,EUR,PDG01MTS,FMMPIIGR,-
S,FTSE Eurozone Inflation-Linked Bond 1-10Y Index,EMTXi_J,EUR,PDG01MTS,EMTXIJR,EMTXIJRT= 
S,FTSE Eurozone Inflation-Linked Bond 10Y+ Index,EMTXi_K,EUR,PDG01MTS,EMTXIKR,EMTXIKRT= 
S,FTSE Eurozone Government Bond IG 1-3Y Index,EMTXig_A,EUR,PDG01MTS,EMIEAR,EMIEAR= 
S,FTSE Eurozone Mid Price InvG Ex-CNO Etrix 1-3 yrs EUR,EMTXig_A_MP,EUR,PDG01MTS,FMMPIEAR,FMMPIEAR= 
